               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.047627,            0.048567,            0.023123,             0.89772,             0.33645,             0.56837,             0.26471,            0.049651,            0.052028,            0.019857,           0.0045108,           0.0045108,            0.032611
                  90,            0.050434,            0.049388,            0.022849,             0.63649,             0.57083,             0.59161,             0.27495,            0.049144,            0.052314,            0.019993,           0.0045103,           0.0045103,             0.03181
                  91,            0.045733,            0.046961,            0.022708,             0.93217,             0.27197,             0.60601,             0.27732,             0.04871,            0.051403,            0.019801,           0.0045085,           0.0045085,            0.031009
                  92,             0.05201,            0.048591,            0.022372,             0.29939,             0.71924,             0.62936,             0.34189,            0.048417,            0.050714,            0.019529,           0.0045056,           0.0045056,            0.030206
                  93,            0.053563,            0.050994,            0.021981,             0.92855,             0.41466,             0.64315,             0.37204,             0.04649,            0.050872,            0.019717,           0.0045013,           0.0045013,            0.029401
                  94,            0.046348,            0.050272,             0.02193,               0.961,             0.41042,             0.68145,             0.37242,            0.044805,            0.050523,            0.019707,           0.0044959,           0.0044959,            0.028596
                  95,            0.049633,            0.050063,            0.021866,             0.72099,             0.50123,             0.57592,             0.25078,            0.055082,            0.052396,            0.019554,           0.0044893,           0.0044893,            0.027789
                  96,            0.054324,            0.051492,            0.022432,             0.30723,             0.84257,             0.66521,             0.36612,            0.049749,            0.051957,            0.019404,           0.0044815,           0.0044815,            0.026981
                  97,            0.052444,            0.048445,            0.021004,              0.3302,              0.7689,             0.62504,              0.2559,            0.050143,            0.052327,            0.019459,           0.0044725,           0.0044725,            0.026172
                  98,            0.048478,            0.048078,            0.021615,             0.36467,             0.80354,             0.68673,             0.36723,            0.046378,            0.050534,            0.019376,           0.0044623,           0.0044623,            0.025362
                  99,            0.045784,            0.047239,            0.021324,             0.41814,             0.74134,             0.67557,             0.37848,            0.046285,            0.049779,            0.019224,            0.004451,            0.004451,            0.024551
                 100,            0.045984,            0.046742,            0.021314,             0.41947,             0.82309,             0.73048,             0.41968,            0.045674,            0.050401,            0.018967,           0.0044385,           0.0044385,            0.023738
                 101,            0.046649,            0.046106,             0.02088,             0.42425,             0.75749,             0.69249,             0.39753,            0.047139,            0.051205,             0.01884,           0.0044249,           0.0044249,            0.022925
                 102,            0.043308,            0.045051,            0.020821,             0.40968,             0.75182,             0.70045,             0.37043,            0.048448,            0.052174,            0.018588,           0.0044102,           0.0044102,             0.02211
                 103,            0.054234,             0.04679,            0.021163,             0.43202,             0.79248,             0.69758,             0.39145,            0.046357,            0.051343,             0.01911,           0.0043943,           0.0043943,            0.021294
                 104,            0.058916,            0.046878,            0.021395,             0.46661,             0.72429,             0.70017,             0.35644,            0.048985,            0.053377,            0.018975,           0.0043774,           0.0043774,            0.020477
                 105,            0.047106,            0.048395,             0.02101,             0.45224,             0.77287,             0.72155,             0.42852,            0.045271,            0.050973,            0.018753,           0.0043595,           0.0043595,            0.019659
                 106,             0.04314,            0.046377,            0.020408,             0.44906,             0.75731,             0.69888,             0.39904,            0.045407,            0.049683,            0.018795,           0.0043404,           0.0043404,             0.01884
                 107,            0.042971,            0.047513,            0.020432,             0.41682,             0.82964,             0.70565,             0.43352,            0.045122,             0.04907,            0.018598,           0.0043203,           0.0043203,             0.01802
                 108,            0.045502,            0.045664,            0.020463,             0.41796,             0.79281,             0.70251,             0.42003,            0.045032,            0.048964,            0.018303,           0.0042993,           0.0042993,            0.017199
                 109,            0.042343,            0.047692,            0.019719,             0.40365,             0.80508,             0.70863,             0.41863,            0.045135,            0.049716,             0.01819,           0.0042772,           0.0042772,            0.016377
                 110,            0.044622,            0.047736,            0.020474,             0.46324,              0.7788,             0.72052,             0.41642,            0.045388,            0.049775,            0.018373,           0.0042541,           0.0042541,            0.015554
                 111,            0.043995,             0.04697,            0.019735,             0.49392,             0.76243,             0.73182,             0.35945,             0.04719,            0.051825,            0.018085,           0.0042301,           0.0042301,             0.01473
                 112,            0.052861,            0.045748,            0.020144,             0.46139,             0.75778,             0.71933,             0.42586,            0.044352,            0.049508,            0.018078,           0.0042051,           0.0042051,            0.013905
                 113,            0.043808,            0.047043,            0.019853,             0.55686,             0.78186,             0.76359,             0.37385,            0.047571,            0.051885,            0.018103,           0.0041792,           0.0041792,            0.013079
                 114,            0.043591,            0.044999,            0.019696,             0.44001,             0.80533,              0.7073,             0.41548,              0.0449,            0.050128,            0.017787,           0.0041524,           0.0041524,            0.012252
                 115,            0.056596,            0.047074,            0.019183,             0.50778,             0.74864,              0.7401,              0.4379,            0.045235,            0.049427,            0.017691,           0.0041247,           0.0041247,            0.011425
                 116,            0.043538,            0.046754,             0.01908,              0.5133,             0.77653,             0.73339,             0.43489,            0.044321,            0.049662,            0.017538,           0.0040961,           0.0040961,            0.010596
                 117,             0.04063,            0.043503,            0.019126,             0.49438,             0.72161,             0.72972,              0.4411,            0.043701,            0.048963,            0.017449,           0.0040668,           0.0040668,           0.0097668
                 118,             0.04791,            0.048498,            0.018957,             0.52198,             0.73921,             0.74501,             0.40694,            0.044634,            0.048678,            0.017008,           0.0040366,           0.0040366,           0.0089366
                 119,            0.050994,            0.046834,            0.018872,             0.46985,             0.78476,             0.73624,             0.43142,             0.04487,            0.050014,            0.017186,           0.0040056,           0.0040056,           0.0081056
                 120,            0.040807,            0.048778,            0.019214,             0.52355,               0.746,             0.75971,             0.43756,            0.044083,            0.049439,            0.017043,           0.0039738,           0.0039738,           0.0072738
                 121,            0.042478,             0.04294,            0.018861,              0.4908,             0.79024,             0.71513,             0.39372,             0.04427,            0.048457,             0.01689,           0.0039413,           0.0039413,           0.0064413
                 122,            0.042943,            0.044104,            0.018735,             0.52962,             0.75417,             0.76031,             0.47967,            0.043258,            0.048898,            0.017148,           0.0039081,           0.0039081,           0.0056081
                 123,            0.046469,            0.044355,            0.018349,             0.53407,             0.80578,             0.77726,             0.45448,            0.044555,            0.049807,             0.01673,           0.0038742,           0.0038742,           0.0047742
                 124,            0.049773,            0.045092,            0.018853,             0.55809,             0.76927,             0.78253,             0.44284,            0.043656,            0.048969,            0.016908,           0.0038396,           0.0038396,           0.0039396
                 125,            0.040269,            0.044236,            0.018467,             0.55465,               0.775,             0.75492,             0.44627,            0.043999,            0.048324,            0.016562,           0.0037779,           0.0037779,           0.0037779
                 126,            0.062946,            0.045448,            0.018134,             0.67423,               0.775,             0.79155,             0.48507,            0.042798,            0.048531,            0.016639,           0.0037779,           0.0037779,           0.0037779
